symKL_DB_eta: 52.245,  symKL_DB_z: 816.791,  gap_eta: 41.046,  gap_z: 819.177,  loss: -2812.681,  ess: 6.211
symKL_DB_eta: 78.385,  symKL_DB_z: 706.251,  gap_eta: 41.887,  gap_z: 707.798,  loss: -2804.305,  ess: 6.241
symKL_DB_eta: 126.457,  symKL_DB_z: 637.276,  gap_eta: 40.378,  gap_z: 638.607,  loss: -2862.671,  ess: 6.265
symKL_DB_eta: 53.758,  symKL_DB_z: 541.420,  gap_eta: 41.761,  gap_z: 544.246,  loss: -2989.632,  ess: 6.272
symKL_DB_eta: 62.856,  symKL_DB_z: 461.155,  gap_eta: 41.797,  gap_z: 462.148,  loss: -2899.697,  ess: 6.290
symKL_DB_eta: 52.455,  symKL_DB_z: 404.369,  gap_eta: 40.870,  gap_z: 406.902,  loss: -2679.885,  ess: 6.311
symKL_DB_eta: 64.213,  symKL_DB_z: 377.547,  gap_eta: 40.732,  gap_z: 367.937,  loss: -2861.928,  ess: 6.330
symKL_DB_eta: 53.137,  symKL_DB_z: 323.371,  gap_eta: 41.320,  gap_z: 326.125,  loss: -3067.919,  ess: 6.332
symKL_DB_eta: 52.809,  symKL_DB_z: 297.109,  gap_eta: 40.476,  gap_z: 299.944,  loss: -2817.107,  ess: 6.365
symKL_DB_eta: 52.141,  symKL_DB_z: 270.821,  gap_eta: 40.360,  gap_z: 267.313,  loss: -2932.824,  ess: 6.384
symKL_DB_eta: 117.120,  symKL_DB_z: 247.392,  gap_eta: 41.651,  gap_z: 245.645,  loss: -2839.411,  ess: 6.370
symKL_DB_eta: 53.299,  symKL_DB_z: 221.289,  gap_eta: 40.376,  gap_z: 224.253,  loss: -2849.836,  ess: 6.385
symKL_DB_eta: 60.551,  symKL_DB_z: 207.635,  gap_eta: 40.492,  gap_z: 206.813,  loss: -2974.583,  ess: 6.379
symKL_DB_eta: 76.780,  symKL_DB_z: 189.310,  gap_eta: 40.333,  gap_z: 192.256,  loss: -2871.200,  ess: 6.409
symKL_DB_eta: 51.643,  symKL_DB_z: 174.179,  gap_eta: 39.876,  gap_z: 176.969,  loss: -2718.987,  ess: 6.407
symKL_DB_eta: 90.304,  symKL_DB_z: 179.993,  gap_eta: 40.575,  gap_z: 180.643,  loss: -2740.785,  ess: 6.417
symKL_DB_eta: 52.852,  symKL_DB_z: 153.686,  gap_eta: 39.636,  gap_z: 156.782,  loss: -2728.074,  ess: 6.423
symKL_DB_eta: 56.505,  symKL_DB_z: 146.564,  gap_eta: 39.674,  gap_z: 148.694,  loss: -2786.533,  ess: 6.433
symKL_DB_eta: 176.066,  symKL_DB_z: 138.147,  gap_eta: 40.090,  gap_z: 139.068,  loss: -2619.762,  ess: 6.451
symKL_DB_eta: 51.390,  symKL_DB_z: 139.109,  gap_eta: 39.285,  gap_z: 141.668,  loss: -2893.897,  ess: 6.452
symKL_DB_eta: 51.478,  symKL_DB_z: 123.193,  gap_eta: 39.608,  gap_z: 126.425,  loss: -2717.217,  ess: 6.463
symKL_DB_eta: 51.789,  symKL_DB_z: 117.132,  gap_eta: 39.823,  gap_z: 120.226,  loss: -2755.816,  ess: 6.460
symKL_DB_eta: 52.447,  symKL_DB_z: 118.577,  gap_eta: 39.649,  gap_z: 121.555,  loss: -2778.888,  ess: 6.461
symKL_DB_eta: 62.992,  symKL_DB_z: 118.938,  gap_eta: 40.687,  gap_z: 121.112,  loss: -2981.799,  ess: 6.455
symKL_DB_eta: 72.505,  symKL_DB_z: 115.740,  gap_eta: 39.081,  gap_z: 115.864,  loss: -2720.521,  ess: 6.479
symKL_DB_eta: 61.661,  symKL_DB_z: 105.638,  gap_eta: 39.698,  gap_z: 109.057,  loss: -2843.362,  ess: 6.477
symKL_DB_eta: 62.460,  symKL_DB_z: 109.984,  gap_eta: 39.111,  gap_z: 107.675,  loss: -2810.929,  ess: 6.481
symKL_DB_eta: 51.022,  symKL_DB_z: 93.047,  gap_eta: 38.623,  gap_z: 96.351,  loss: -2731.753,  ess: 6.480
symKL_DB_eta: 50.779,  symKL_DB_z: 91.126,  gap_eta: 38.790,  gap_z: 94.449,  loss: -2698.336,  ess: 6.493
symKL_DB_eta: 62.224,  symKL_DB_z: 99.840,  gap_eta: 39.383,  gap_z: 103.280,  loss: -2834.069,  ess: 6.498
symKL_DB_eta: 52.094,  symKL_DB_z: 95.252,  gap_eta: 39.284,  gap_z: 99.343,  loss: -3000.930,  ess: 6.494
symKL_DB_eta: 74.281,  symKL_DB_z: 97.832,  gap_eta: 39.066,  gap_z: 83.982,  loss: -2704.783,  ess: 6.507
symKL_DB_eta: 52.030,  symKL_DB_z: 88.943,  gap_eta: 39.270,  gap_z: 92.514,  loss: -2849.789,  ess: 6.508
symKL_DB_eta: 51.781,  symKL_DB_z: 83.508,  gap_eta: 39.140,  gap_z: 87.297,  loss: -2907.004,  ess: 6.504
symKL_DB_eta: 53.512,  symKL_DB_z: 88.520,  gap_eta: 39.979,  gap_z: 80.750,  loss: -2926.378,  ess: 6.503
symKL_DB_eta: 86.157,  symKL_DB_z: 84.998,  gap_eta: 39.800,  gap_z: 85.976,  loss: -2977.486,  ess: 6.505
symKL_DB_eta: 50.641,  symKL_DB_z: 75.482,  gap_eta: 38.537,  gap_z: 79.220,  loss: -2648.999,  ess: 6.533
symKL_DB_eta: 71.903,  symKL_DB_z: 74.682,  gap_eta: 40.035,  gap_z: 75.400,  loss: -2991.681,  ess: 6.523
symKL_DB_eta: 52.457,  symKL_DB_z: 82.554,  gap_eta: 39.415,  gap_z: 86.163,  loss: -2862.175,  ess: 6.531
symKL_DB_eta: 52.502,  symKL_DB_z: 69.283,  gap_eta: 39.086,  gap_z: 73.086,  loss: -2937.719,  ess: 6.532
symKL_DB_eta: 73.862,  symKL_DB_z: 75.179,  gap_eta: 39.769,  gap_z: 79.564,  loss: -3094.686,  ess: 6.533
symKL_DB_eta: 55.103,  symKL_DB_z: 67.914,  gap_eta: 39.118,  gap_z: 71.582,  loss: -3040.615,  ess: 6.527
symKL_DB_eta: 52.002,  symKL_DB_z: 83.515,  gap_eta: 38.768,  gap_z: 87.649,  loss: -2835.438,  ess: 6.536
symKL_DB_eta: 76.055,  symKL_DB_z: 74.465,  gap_eta: 39.620,  gap_z: 77.113,  loss: -3029.331,  ess: 6.530
symKL_DB_eta: 53.677,  symKL_DB_z: 78.166,  gap_eta: 39.781,  gap_z: 82.160,  loss: -3172.890,  ess: 6.548
symKL_DB_eta: 52.712,  symKL_DB_z: 64.261,  gap_eta: 39.182,  gap_z: 68.622,  loss: -2943.973,  ess: 6.547
symKL_DB_eta: 51.772,  symKL_DB_z: 67.311,  gap_eta: 38.479,  gap_z: 71.288,  loss: -2768.627,  ess: 6.549
symKL_DB_eta: 52.057,  symKL_DB_z: 56.979,  gap_eta: 38.925,  gap_z: 60.731,  loss: -2867.321,  ess: 6.554
symKL_DB_eta: 51.881,  symKL_DB_z: 53.815,  gap_eta: 38.838,  gap_z: 57.823,  loss: -2769.391,  ess: 6.556
symKL_DB_eta: 51.903,  symKL_DB_z: 53.770,  gap_eta: 38.115,  gap_z: 57.321,  loss: -2676.195,  ess: 6.558
symKL_DB_eta: 77.526,  symKL_DB_z: 68.275,  gap_eta: 38.953,  gap_z: 71.860,  loss: -2958.940,  ess: 6.562
symKL_DB_eta: 52.822,  symKL_DB_z: 54.314,  gap_eta: 39.072,  gap_z: 58.338,  loss: -2916.259,  ess: 6.560
symKL_DB_eta: 68.774,  symKL_DB_z: 57.325,  gap_eta: 38.303,  gap_z: 61.410,  loss: -2891.055,  ess: 6.569
symKL_DB_eta: 52.758,  symKL_DB_z: 55.698,  gap_eta: 39.056,  gap_z: 59.988,  loss: -2841.263,  ess: 6.567
symKL_DB_eta: 73.836,  symKL_DB_z: 48.232,  gap_eta: 38.239,  gap_z: 52.459,  loss: -2862.364,  ess: 6.572
symKL_DB_eta: 64.607,  symKL_DB_z: 52.028,  gap_eta: 38.823,  gap_z: 55.749,  loss: -2961.442,  ess: 6.561
symKL_DB_eta: 67.351,  symKL_DB_z: 48.852,  gap_eta: 38.485,  gap_z: 52.012,  loss: -2823.090,  ess: 6.572
symKL_DB_eta: 53.114,  symKL_DB_z: 52.916,  gap_eta: 38.889,  gap_z: 57.178,  loss: -2930.370,  ess: 6.567
symKL_DB_eta: 58.534,  symKL_DB_z: 52.983,  gap_eta: 38.746,  gap_z: 54.995,  loss: -2912.599,  ess: 6.576
symKL_DB_eta: 51.701,  symKL_DB_z: 51.980,  gap_eta: 38.926,  gap_z: 56.403,  loss: -2938.844,  ess: 6.565
symKL_DB_eta: 51.174,  symKL_DB_z: 41.074,  gap_eta: 38.276,  gap_z: 45.152,  loss: -2709.732,  ess: 6.584
symKL_DB_eta: 56.202,  symKL_DB_z: 56.450,  gap_eta: 39.045,  gap_z: 56.176,  loss: -2828.798,  ess: 6.592
symKL_DB_eta: 52.127,  symKL_DB_z: 43.063,  gap_eta: 38.403,  gap_z: 47.356,  loss: -2868.496,  ess: 6.591
symKL_DB_eta: 52.326,  symKL_DB_z: 42.736,  gap_eta: 38.642,  gap_z: 47.244,  loss: -3001.541,  ess: 6.587
symKL_DB_eta: 101.206,  symKL_DB_z: 41.041,  gap_eta: 38.612,  gap_z: 44.168,  loss: -2817.842,  ess: 6.593
symKL_DB_eta: 51.562,  symKL_DB_z: 43.705,  gap_eta: 38.092,  gap_z: 46.777,  loss: -2861.041,  ess: 6.576
symKL_DB_eta: 62.810,  symKL_DB_z: 42.162,  gap_eta: 38.979,  gap_z: 44.567,  loss: -2796.819,  ess: 6.583
symKL_DB_eta: 57.796,  symKL_DB_z: 41.609,  gap_eta: 37.770,  gap_z: 45.904,  loss: -2878.480,  ess: 6.586
symKL_DB_eta: 105.642,  symKL_DB_z: 42.211,  gap_eta: 38.469,  gap_z: 46.356,  loss: -2879.667,  ess: 6.598
symKL_DB_eta: 51.252,  symKL_DB_z: 34.854,  gap_eta: 37.901,  gap_z: 39.123,  loss: -2885.062,  ess: 6.599
symKL_DB_eta: 54.094,  symKL_DB_z: 43.196,  gap_eta: 37.754,  gap_z: 47.783,  loss: -2789.485,  ess: 6.591
symKL_DB_eta: 60.953,  symKL_DB_z: 45.066,  gap_eta: 37.964,  gap_z: 44.278,  loss: -2848.686,  ess: 6.607
symKL_DB_eta: 50.986,  symKL_DB_z: 46.229,  gap_eta: 37.891,  gap_z: 50.978,  loss: -2838.684,  ess: 6.604
symKL_DB_eta: 50.068,  symKL_DB_z: 40.994,  gap_eta: 37.307,  gap_z: 45.725,  loss: -2702.779,  ess: 6.612
symKL_DB_eta: 59.611,  symKL_DB_z: 42.957,  gap_eta: 38.249,  gap_z: 47.696,  loss: -3024.273,  ess: 6.604
symKL_DB_eta: 51.185,  symKL_DB_z: 41.995,  gap_eta: 37.656,  gap_z: 46.370,  loss: -2784.429,  ess: 6.597
symKL_DB_eta: 106.198,  symKL_DB_z: 43.197,  gap_eta: 37.566,  gap_z: 39.849,  loss: -2748.735,  ess: 6.627
symKL_DB_eta: 51.900,  symKL_DB_z: 35.076,  gap_eta: 37.859,  gap_z: 39.654,  loss: -2748.190,  ess: 6.624
symKL_DB_eta: 51.508,  symKL_DB_z: 43.309,  gap_eta: 37.820,  gap_z: 48.025,  loss: -2779.279,  ess: 6.607
symKL_DB_eta: 50.092,  symKL_DB_z: 33.449,  gap_eta: 37.176,  gap_z: 37.973,  loss: -2753.730,  ess: 6.613
symKL_DB_eta: 49.461,  symKL_DB_z: 33.115,  gap_eta: 36.925,  gap_z: 37.457,  loss: -2677.575,  ess: 6.612
symKL_DB_eta: 61.917,  symKL_DB_z: 40.987,  gap_eta: 37.209,  gap_z: 37.726,  loss: -2606.904,  ess: 6.620
symKL_DB_eta: 75.682,  symKL_DB_z: 43.660,  gap_eta: 37.730,  gap_z: 34.483,  loss: -2744.723,  ess: 6.614
symKL_DB_eta: 50.566,  symKL_DB_z: 31.533,  gap_eta: 37.357,  gap_z: 36.237,  loss: -2844.337,  ess: 6.632
symKL_DB_eta: 69.153,  symKL_DB_z: 31.269,  gap_eta: 36.668,  gap_z: 35.650,  loss: -2674.682,  ess: 6.631
symKL_DB_eta: 49.762,  symKL_DB_z: 29.521,  gap_eta: 36.930,  gap_z: 34.146,  loss: -2612.214,  ess: 6.624
symKL_DB_eta: 70.480,  symKL_DB_z: 29.737,  gap_eta: 36.890,  gap_z: 33.954,  loss: -2751.708,  ess: 6.637
symKL_DB_eta: 62.378,  symKL_DB_z: 31.950,  gap_eta: 36.595,  gap_z: 36.935,  loss: -2833.552,  ess: 6.643
symKL_DB_eta: 50.039,  symKL_DB_z: 33.623,  gap_eta: 36.868,  gap_z: 37.979,  loss: -2719.764,  ess: 6.641
symKL_DB_eta: 59.287,  symKL_DB_z: 24.999,  gap_eta: 36.315,  gap_z: 29.240,  loss: -2524.806,  ess: 6.631
symKL_DB_eta: 53.154,  symKL_DB_z: 24.823,  gap_eta: 36.988,  gap_z: 28.859,  loss: -2642.364,  ess: 6.623
symKL_DB_eta: 68.031,  symKL_DB_z: 26.746,  gap_eta: 36.584,  gap_z: 31.207,  loss: -2734.215,  ess: 6.642
symKL_DB_eta: 49.363,  symKL_DB_z: 23.838,  gap_eta: 36.692,  gap_z: 28.464,  loss: -2577.193,  ess: 6.627
symKL_DB_eta: 50.163,  symKL_DB_z: 27.879,  gap_eta: 36.649,  gap_z: 32.816,  loss: -2807.162,  ess: 6.645
symKL_DB_eta: 49.897,  symKL_DB_z: 23.213,  gap_eta: 36.335,  gap_z: 27.596,  loss: -2495.540,  ess: 6.642
symKL_DB_eta: 49.992,  symKL_DB_z: 25.947,  gap_eta: 36.433,  gap_z: 30.617,  loss: -2623.513,  ess: 6.639
symKL_DB_eta: 49.455,  symKL_DB_z: 26.310,  gap_eta: 36.273,  gap_z: 31.255,  loss: -2693.268,  ess: 6.649
symKL_DB_eta: 53.836,  symKL_DB_z: 25.258,  gap_eta: 36.336,  gap_z: 28.947,  loss: -2782.431,  ess: 6.647
symKL_DB_eta: 60.948,  symKL_DB_z: 25.367,  gap_eta: 36.721,  gap_z: 29.964,  loss: -2679.827,  ess: 6.640
symKL_DB_eta: 50.996,  symKL_DB_z: 24.627,  gap_eta: 36.276,  gap_z: 27.642,  loss: -2766.976,  ess: 6.660
symKL_DB_eta: 48.825,  symKL_DB_z: 26.735,  gap_eta: 35.845,  gap_z: 31.593,  loss: -2588.359,  ess: 6.651
symKL_DB_eta: 48.877,  symKL_DB_z: 22.125,  gap_eta: 36.041,  gap_z: 27.045,  loss: -2593.265,  ess: 6.656
symKL_DB_eta: 81.982,  symKL_DB_z: 20.829,  gap_eta: 36.085,  gap_z: 25.771,  loss: -2455.914,  ess: 6.663
symKL_DB_eta: 51.330,  symKL_DB_z: 34.369,  gap_eta: 35.966,  gap_z: 36.524,  loss: -2634.756,  ess: 6.671
symKL_DB_eta: 63.443,  symKL_DB_z: 22.779,  gap_eta: 35.426,  gap_z: 27.391,  loss: -2646.439,  ess: 6.672
symKL_DB_eta: 48.911,  symKL_DB_z: 20.330,  gap_eta: 35.618,  gap_z: 25.406,  loss: -2606.044,  ess: 6.651
