EUBO	ELBO	ESS
-507.335	-507.363	9.999
-507.334	-507.359	9.999
-507.335	-507.356	9.999
-507.334	-507.358	9.999
-507.335	-507.360	9.999
-507.331	-507.361	9.999
-507.335	-507.356	9.999
-507.336	-507.354	9.999
-507.334	-507.359	9.999
-507.330	-507.368	9.999
-507.335	-507.360	9.999
-507.334	-507.358	9.999
-507.332	-507.365	9.999
-507.335	-507.359	9.999
-507.334	-507.362	9.999
-507.338	-507.355	9.999
-507.331	-507.357	9.999
-507.330	-507.368	9.999
-507.336	-507.358	9.999
-507.334	-507.362	9.999
-507.334	-507.360	9.999
-507.329	-507.367	9.999
-507.333	-507.360	9.999
-507.336	-507.357	9.999
-507.334	-507.359	9.999
-507.337	-507.358	9.999
-507.335	-507.361	9.999
-507.332	-507.360	9.999
-507.329	-507.365	9.999
-507.332	-507.358	9.999
-507.333	-507.357	9.999
-507.337	-507.357	9.999
-507.330	-507.360	9.999
-507.332	-507.357	9.999
-507.335	-507.356	9.999
-507.333	-507.361	9.999
-507.333	-507.358	9.999
-507.332	-507.363	9.999
-507.331	-507.360	9.999
-507.334	-507.359	9.999
-507.334	-507.356	9.999
-507.332	-507.357	9.999
-507.332	-507.359	9.999
-507.335	-507.357	9.999
-507.335	-507.357	9.999
-507.333	-507.360	9.999
-507.330	-507.367	9.999
-507.335	-507.360	9.999
-507.331	-507.360	9.999
-507.336	-507.353	9.999
-507.328	-507.365	9.999
-507.336	-507.358	9.999
-507.337	-507.359	9.999
-507.330	-507.364	9.999
-507.331	-507.363	9.999
-507.332	-507.358	9.999
-507.335	-507.367	9.999
-507.332	-507.362	9.999
-507.337	-507.359	9.999
-507.334	-507.363	9.999
-507.327	-507.365	9.999
-507.336	-507.359	9.999
-507.333	-507.357	9.999
-507.336	-507.356	9.999
-507.337	-507.358	9.999
-507.336	-507.360	9.999
-507.334	-507.357	9.999
-507.333	-507.358	9.999
-507.333	-507.360	9.999
-507.332	-507.360	9.999
-507.335	-507.362	9.999
-507.333	-507.361	9.999
-507.336	-507.357	9.999
-507.336	-507.358	9.999
-507.329	-507.361	9.999
-507.333	-507.356	9.999
-507.333	-507.364	9.999
-507.333	-507.362	9.999
-507.331	-507.361	9.999
-507.337	-507.359	9.999
-507.335	-507.365	9.999
-507.336	-507.359	9.999
-507.337	-507.356	9.999
-507.337	-507.356	9.999
-507.334	-507.359	9.999
-507.326	-507.368	9.999
-507.331	-507.363	9.999
-507.339	-507.357	9.999
-507.335	-507.361	9.999
-507.334	-507.358	9.999
-507.332	-507.364	9.999
-507.334	-507.359	9.999
-507.336	-507.359	9.999
-507.335	-507.363	9.999
-507.334	-507.360	9.999
-507.335	-507.361	9.999
-507.336	-507.354	9.999
-507.334	-507.361	9.999
-507.335	-507.359	9.999
-507.335	-507.360	9.999
-507.332	-507.356	9.999
-507.336	-507.356	9.999
-507.328	-507.362	9.999
-507.337	-507.355	9.999
-507.334	-507.357	9.999
-507.332	-507.359	9.999
-507.331	-507.357	9.999
-507.337	-507.356	9.999
-507.327	-507.361	9.999
-507.329	-507.364	9.999
-507.336	-507.356	9.999
-507.336	-507.358	9.999
-507.331	-507.361	9.999
-507.337	-507.358	9.999
-507.332	-507.361	9.999
-507.335	-507.362	9.999
-507.335	-507.359	9.999
-507.333	-507.358	9.999
-507.331	-507.362	9.999
-507.334	-507.359	9.999
-507.333	-507.360	9.999
-507.336	-507.356	9.999
-507.330	-507.359	9.999
-507.332	-507.358	9.999
-507.338	-507.355	9.999
-507.333	-507.362	9.999
-507.333	-507.358	9.999
-507.336	-507.364	9.999
-507.328	-507.365	9.999
-507.337	-507.355	9.999
-507.337	-507.355	9.999
-507.333	-507.365	9.999
-507.338	-507.357	9.999
-507.334	-507.359	9.999
-507.330	-507.363	9.999
-507.334	-507.364	9.999
-507.330	-507.366	9.999
-507.338	-507.356	9.999
-507.336	-507.359	9.999
-507.330	-507.366	9.999
-507.334	-507.362	9.999
-507.334	-507.357	9.999
-507.334	-507.365	9.999
-507.336	-507.362	9.999
-507.329	-507.363	9.999
-507.336	-507.357	9.999
-507.333	-507.361	9.999
-507.328	-507.364	9.999
-507.337	-507.358	9.999
-507.332	-507.361	9.999
-507.334	-507.357	9.999
-507.334	-507.357	9.999
-507.333	-507.359	9.999
-507.335	-507.361	9.999
-507.330	-507.367	9.999
-507.335	-507.357	9.999
-507.329	-507.366	9.999
-507.329	-507.369	9.999
-507.334	-507.360	9.999
-507.335	-507.357	9.999
-507.332	-507.359	9.999
-507.335	-507.355	9.999
-507.336	-507.357	9.999
-507.335	-507.358	9.999
-507.333	-507.360	9.999
-507.331	-507.362	9.999
-507.334	-507.357	9.999
-507.337	-507.354	9.999
-507.333	-507.360	9.999
-507.336	-507.357	9.999
-507.335	-507.357	9.999
-507.334	-507.358	9.999
-507.330	-507.364	9.999
-507.334	-507.362	9.999
-507.331	-507.359	9.999
-507.335	-507.358	9.999
-507.332	-507.361	9.999
-507.332	-507.360	9.999
-507.332	-507.362	9.999
-507.333	-507.362	9.999
-507.331	-507.367	9.999
-507.333	-507.359	9.999
-507.335	-507.360	9.999
-507.332	-507.355	9.999
-507.334	-507.359	9.999
-507.330	-507.367	9.999
-507.332	-507.361	9.999
-507.334	-507.366	9.999
-507.338	-507.354	9.999
-507.332	-507.367	9.999
-507.333	-507.360	9.999
-507.332	-507.361	9.999
-507.335	-507.358	9.999
-507.335	-507.359	9.999
-507.332	-507.363	9.999
-507.332	-507.361	9.999
-507.335	-507.358	9.999
-507.334	-507.364	9.999
-507.335	-507.359	9.999
-507.333	-507.362	9.999
-507.338	-507.352	10.000
-507.332	-507.366	9.999
-507.332	-507.362	9.999
-507.337	-507.359	9.999
-507.333	-507.361	9.999
-507.330	-507.361	9.999
-507.335	-507.355	9.999
-507.333	-507.360	9.999
-507.332	-507.360	9.999
-507.331	-507.361	9.999
-507.337	-507.356	9.999
-507.330	-507.363	9.999
-507.333	-507.359	9.999
-507.337	-507.354	9.999
-507.334	-507.358	9.999
-507.334	-507.354	9.999
-507.335	-507.356	9.999
-507.334	-507.364	9.999
-507.329	-507.371	9.999
-507.329	-507.362	9.999
-507.336	-507.359	9.999
-507.335	-507.359	9.999
-507.336	-507.356	9.999
-507.337	-507.357	9.999
-507.333	-507.356	9.999
-507.334	-507.363	9.999
-507.334	-507.358	9.999
-507.334	-507.358	9.999
-507.332	-507.359	9.999
-507.337	-507.352	9.999
-507.330	-507.359	9.999
-507.334	-507.354	9.999
-507.330	-507.366	9.999
-507.332	-507.359	9.999
-507.335	-507.358	9.999
-507.332	-507.361	9.999
-507.334	-507.362	9.999
-507.331	-507.360	9.999
-507.333	-507.361	9.999
-507.338	-507.357	9.999
-507.329	-507.363	9.999
-507.337	-507.357	9.999
-507.334	-507.357	9.999
-507.339	-507.360	9.999
-507.331	-507.363	9.999
-507.332	-507.359	9.999
-507.335	-507.360	9.999
-507.333	-507.362	9.999
-507.335	-507.355	9.999
-507.336	-507.356	9.999
-507.333	-507.362	9.999
-507.331	-507.361	9.999
-507.333	-507.361	9.999
-507.333	-507.362	9.999
-507.336	-507.359	9.999
-507.329	-507.365	9.999
-507.333	-507.361	9.999
-507.334	-507.362	9.999
-507.334	-507.360	9.999
-507.336	-507.353	9.999
-507.335	-507.360	9.999
-507.333	-507.357	9.999
-507.334	-507.359	9.999
-507.338	-507.356	9.999
-507.332	-507.364	9.999
-507.333	-507.363	9.999
-507.328	-507.367	9.999
-507.337	-507.354	9.999
-507.334	-507.359	9.999
-507.336	-507.356	9.999
-507.331	-507.370	9.999
-507.333	-507.366	9.999
-507.331	-507.361	9.999
-507.335	-507.362	9.999
-507.333	-507.363	9.999
-507.333	-507.361	9.999
-507.332	-507.360	9.999
-507.329	-507.363	9.999
-507.335	-507.356	9.999
-507.331	-507.360	9.999
-507.333	-507.363	9.999
-507.333	-507.356	9.999
-507.333	-507.359	9.999
-507.335	-507.360	9.999
-507.329	-507.363	9.999
-507.334	-507.360	9.999
-507.336	-507.357	9.999
-507.334	-507.355	9.999
-507.334	-507.359	9.999
-507.334	-507.362	9.999
-507.330	-507.363	9.999
-507.336	-507.360	9.999
-507.336	-507.359	9.999
-507.335	-507.357	9.999
-507.335	-507.357	9.999
-507.330	-507.367	9.999
-507.332	-507.361	9.999
-507.337	-507.354	9.999
-507.334	-507.362	9.999
-507.335	-507.355	9.999
-507.334	-507.357	9.999
-507.332	-507.358	9.999
-507.333	-507.359	9.999
-507.334	-507.359	9.999
-507.333	-507.354	9.999
-507.334	-507.356	9.999
-507.335	-507.359	9.999
-507.334	-507.359	9.999
-507.336	-507.366	9.999
-507.335	-507.357	9.999
-507.334	-507.353	9.999
-507.336	-507.357	9.999
-507.334	-507.360	9.999
-507.333	-507.355	9.999
-507.333	-507.358	9.999
-507.334	-507.364	9.999
-507.332	-507.359	9.999
-507.332	-507.362	9.999
-507.332	-507.360	9.999
-507.333	-507.363	9.999
-507.333	-507.359	9.999
-507.335	-507.355	9.999
-507.335	-507.357	9.999
-507.335	-507.354	9.999
-507.331	-507.360	9.999
-507.337	-507.358	9.999
-507.333	-507.358	9.999
-507.335	-507.360	9.999
-507.332	-507.363	9.999
-507.334	-507.361	9.999
-507.335	-507.364	9.999
-507.333	-507.361	9.999
-507.334	-507.360	9.999
-507.332	-507.360	9.999
-507.336	-507.357	9.999
-507.336	-507.359	9.999
-507.334	-507.363	9.999
-507.335	-507.356	9.999
-507.327	-507.364	9.999
-507.333	-507.366	9.999
-507.334	-507.362	9.999
-507.335	-507.354	9.999
-507.329	-507.367	9.999
-507.335	-507.357	9.999
-507.337	-507.356	9.999
-507.332	-507.361	9.999
-507.330	-507.358	9.999
-507.336	-507.356	9.999
-507.336	-507.359	9.999
-507.334	-507.363	9.999
-507.334	-507.358	9.999
-507.331	-507.363	9.999
-507.335	-507.357	9.999
-507.330	-507.364	9.999
-507.334	-507.363	9.999
-507.335	-507.364	9.999
-507.334	-507.355	9.999
-507.337	-507.357	9.999
-507.333	-507.363	9.999
-507.333	-507.360	9.999
-507.337	-507.358	9.999
-507.333	-507.362	9.999
-507.335	-507.356	9.999
-507.333	-507.359	9.999
-507.335	-507.360	9.999
-507.334	-507.358	9.999
-507.336	-507.361	9.999
-507.333	-507.358	9.999
-507.335	-507.355	9.999
-507.333	-507.359	9.999
-507.330	-507.358	9.999
-507.330	-507.362	9.999
-507.326	-507.367	9.999
-507.335	-507.355	9.999
-507.335	-507.355	9.999
-507.335	-507.359	9.999
-507.336	-507.357	9.999
-507.334	-507.360	9.999
-507.333	-507.358	9.999
-507.331	-507.362	9.999
-507.332	-507.358	9.999
-507.337	-507.361	9.999
-507.334	-507.360	9.999
-507.336	-507.358	9.999
-507.335	-507.359	9.999
-507.331	-507.361	9.999
-507.335	-507.356	9.999
-507.335	-507.357	9.999
-507.335	-507.356	9.999
-507.337	-507.358	9.999
-507.332	-507.360	9.999
-507.338	-507.351	10.000
-507.332	-507.356	9.999
-507.329	-507.363	9.999
-507.333	-507.353	9.999
-507.330	-507.360	9.999
-507.334	-507.359	9.999
-507.334	-507.358	9.999
-507.336	-507.356	9.999
-507.335	-507.356	9.999
-507.335	-507.360	9.999
-507.336	-507.356	9.999
-507.333	-507.362	9.999
-507.335	-507.354	9.999
-507.332	-507.356	9.999
-507.332	-507.359	9.999
-507.332	-507.361	9.999
-507.329	-507.361	9.999
-507.336	-507.356	9.999
-507.332	-507.365	9.999
-507.337	-507.359	9.999
-507.335	-507.355	9.999
-507.335	-507.362	9.999
-507.329	-507.366	9.999
-507.334	-507.359	9.999
-507.333	-507.360	9.999
-507.334	-507.360	9.999
-507.336	-507.358	9.999
-507.333	-507.361	9.999
-507.330	-507.362	9.999
-507.337	-507.359	9.999
-507.331	-507.356	9.999
-507.334	-507.361	9.999
-507.337	-507.359	9.999
-507.337	-507.358	9.999
-507.326	-507.365	9.999
-507.335	-507.365	9.999
-507.334	-507.356	9.999
-507.333	-507.357	9.999
-507.334	-507.359	9.999
-507.336	-507.355	9.999
-507.335	-507.361	9.999
-507.332	-507.360	9.999
-507.332	-507.361	9.999
-507.333	-507.356	9.999
-507.330	-507.363	9.999
-507.334	-507.358	9.999
-507.333	-507.357	9.999
-507.327	-507.367	9.999
-507.335	-507.359	9.999
-507.337	-507.354	9.999
-507.333	-507.361	9.999
-507.335	-507.355	9.999
-507.332	-507.362	9.999
-507.334	-507.359	9.999
-507.334	-507.358	9.999
-507.332	-507.359	9.999
-507.336	-507.357	9.999
-507.334	-507.362	9.999
-507.331	-507.366	9.999
-507.336	-507.354	9.999
-507.340	-507.356	9.999
-507.334	-507.360	9.999
-507.329	-507.360	9.999
-507.333	-507.362	9.999
-507.333	-507.363	9.999
-507.331	-507.361	9.999
-507.337	-507.358	9.999
-507.334	-507.358	9.999
-507.332	-507.360	9.999
-507.337	-507.358	9.999
-507.334	-507.357	9.999
-507.335	-507.358	9.999
-507.335	-507.357	9.999
-507.337	-507.356	9.999
-507.333	-507.362	9.999
-507.333	-507.360	9.999
-507.333	-507.360	9.999
-507.337	-507.358	9.999
-507.333	-507.364	9.999
-507.332	-507.360	9.999
-507.334	-507.361	9.999
-507.338	-507.355	9.999
-507.335	-507.362	9.999
-507.331	-507.363	9.999
-507.332	-507.360	9.999
-507.333	-507.361	9.999
-507.333	-507.359	9.999
-507.332	-507.361	9.999
-507.335	-507.363	9.999
-507.336	-507.358	9.999
-507.329	-507.360	9.999
-507.337	-507.358	9.999
-507.336	-507.359	9.999
-507.332	-507.359	9.999
-507.337	-507.359	9.999
-507.333	-507.361	9.999
-507.333	-507.363	9.999
-507.332	-507.362	9.999
-507.335	-507.362	9.999
-507.335	-507.357	9.999
-507.334	-507.359	9.999
-507.331	-507.365	9.999
-507.330	-507.359	9.999
-507.334	-507.357	9.999
-507.335	-507.357	9.999
-507.333	-507.358	9.999
-507.331	-507.362	9.999
-507.333	-507.364	9.999
-507.338	-507.354	9.999
-507.336	-507.357	9.999
-507.332	-507.360	9.999
-507.333	-507.363	9.999
-507.336	-507.356	9.999
-507.332	-507.357	9.999
-507.333	-507.357	9.999
-507.333	-507.361	9.999
-507.327	-507.364	9.999
-507.331	-507.361	9.999
-507.330	-507.365	9.999
-507.336	-507.358	9.999
-507.330	-507.360	9.999
-507.331	-507.365	9.999
-507.334	-507.358	9.999
-507.332	-507.360	9.999
-507.334	-507.357	9.999
-507.333	-507.364	9.999
-507.334	-507.360	9.999
-507.333	-507.361	9.999
-507.335	-507.355	9.999
-507.337	-507.358	9.999
-507.334	-507.358	9.999
-507.332	-507.360	9.999
-507.331	-507.365	9.999
-507.334	-507.359	9.999
-507.335	-507.357	9.999
-507.329	-507.371	9.999
-507.331	-507.355	9.999
-507.336	-507.356	9.999
-507.335	-507.356	9.999
-507.336	-507.358	9.999
-507.329	-507.363	9.999
-507.332	-507.359	9.999
-507.335	-507.358	9.999
-507.334	-507.357	9.999
-507.332	-507.360	9.999
-507.338	-507.356	9.999
-507.330	-507.363	9.999
-507.337	-507.357	9.999
-507.332	-507.364	9.999
-507.330	-507.361	9.999
-507.336	-507.362	9.999
-507.335	-507.365	9.999
-507.335	-507.358	9.999
-507.336	-507.359	9.999
-507.332	-507.358	9.999
-507.336	-507.354	9.999
-507.338	-507.355	9.999
-507.335	-507.359	9.999
-507.332	-507.365	9.999
-507.334	-507.359	9.999
-507.334	-507.359	9.999
-507.331	-507.361	9.999
-507.334	-507.362	9.999
-507.333	-507.362	9.999
-507.331	-507.362	9.999
-507.334	-507.361	9.999
-507.336	-507.360	9.999
-507.332	-507.356	9.999
-507.335	-507.361	9.999
-507.333	-507.359	9.999
-507.337	-507.356	9.999
-507.336	-507.355	9.999
-507.334	-507.360	9.999
-507.336	-507.357	9.999
-507.334	-507.364	9.999
-507.332	-507.362	9.999
-507.328	-507.364	9.999
-507.335	-507.355	9.999
-507.334	-507.360	9.999
-507.337	-507.357	9.999
-507.334	-507.361	9.999
-507.331	-507.359	9.999
-507.336	-507.358	9.999
-507.331	-507.365	9.999
-507.336	-507.360	9.999
-507.330	-507.363	9.999
-507.334	-507.361	9.999
-507.335	-507.361	9.999
-507.328	-507.364	9.999
-507.333	-507.364	9.999
-507.335	-507.356	9.999
-507.333	-507.365	9.999
-507.334	-507.357	9.999
-507.332	-507.361	9.999
-507.334	-507.364	9.999
-507.328	-507.365	9.999
-507.334	-507.355	9.999
-507.335	-507.354	9.999
-507.335	-507.360	9.999
-507.333	-507.365	9.999
-507.335	-507.357	9.999
-507.326	-507.369	9.999
-507.333	-507.360	9.999
-507.334	-507.363	9.999
-507.331	-507.359	9.999
-507.338	-507.357	9.999
-507.334	-507.360	9.999
-507.332	-507.365	9.999
-507.336	-507.355	9.999
-507.332	-507.360	9.999
-507.335	-507.360	9.999
-507.333	-507.365	9.999
-507.333	-507.358	9.999
-507.330	-507.365	9.999
-507.333	-507.362	9.999
-507.335	-507.359	9.999
-507.330	-507.365	9.999
-507.334	-507.358	9.999
-507.333	-507.361	9.999
-507.336	-507.361	9.999
-507.333	-507.363	9.999
-507.334	-507.360	9.999
-507.326	-507.367	9.999
-507.337	-507.356	9.999
-507.333	-507.360	9.999
-507.333	-507.358	9.999
-507.337	-507.353	9.999
-507.334	-507.360	9.999
-507.332	-507.362	9.999
-507.330	-507.361	9.999
-507.334	-507.358	9.999
-507.333	-507.354	9.999
-507.336	-507.354	9.999
-507.335	-507.357	9.999
-507.334	-507.357	9.999
-507.328	-507.367	9.999
-507.335	-507.362	9.999
-507.331	-507.363	9.999
-507.332	-507.360	9.999
-507.337	-507.356	9.999
-507.332	-507.361	9.999
-507.332	-507.358	9.999
-507.336	-507.355	9.999
-507.335	-507.360	9.999
-507.332	-507.361	9.999
-507.333	-507.358	9.999
-507.331	-507.360	9.999
-507.331	-507.361	9.999
-507.337	-507.355	9.999
-507.332	-507.361	9.999
-507.334	-507.359	9.999
-507.328	-507.371	9.999
-507.337	-507.362	9.999
-507.334	-507.364	9.999
-507.333	-507.357	9.999
-507.333	-507.358	9.999
-507.331	-507.362	9.999
-507.333	-507.360	9.999
-507.331	-507.367	9.999
-507.333	-507.362	9.999
-507.334	-507.358	9.999
-507.337	-507.358	9.999
-507.332	-507.363	9.999
-507.329	-507.364	9.999
-507.336	-507.359	9.999
-507.334	-507.359	9.999
-507.332	-507.357	9.999
-507.334	-507.355	9.999
-507.335	-507.356	9.999
-507.332	-507.360	9.999
-507.333	-507.361	9.999
-507.336	-507.358	9.999
-507.333	-507.357	9.999
-507.335	-507.364	9.999
-507.327	-507.368	9.999
-507.337	-507.355	9.999
-507.337	-507.357	9.999
-507.331	-507.365	9.999
-507.334	-507.358	9.999
-507.334	-507.359	9.999
-507.329	-507.367	9.999
-507.337	-507.353	9.999
-507.333	-507.362	9.999
-507.326	-507.369	9.999
-507.335	-507.360	9.999
-507.331	-507.361	9.999
-507.336	-507.363	9.999
-507.338	-507.358	9.999
-507.336	-507.355	9.999
-507.331	-507.363	9.999
-507.335	-507.356	9.999
-507.330	-507.363	9.999
-507.333	-507.364	9.999
-507.332	-507.356	9.999
-507.331	-507.358	9.999
-507.334	-507.359	9.999
-507.332	-507.362	9.999
-507.331	-507.363	9.999
-507.328	-507.357	9.999
-507.335	-507.362	9.999
-507.336	-507.355	9.999
-507.332	-507.358	9.999
-507.331	-507.363	9.999
-507.334	-507.355	9.999
-507.328	-507.363	9.999
-507.332	-507.360	9.999
-507.338	-507.355	9.999
-507.332	-507.361	9.999
-507.325	-507.365	9.999
-507.332	-507.362	9.999
-507.332	-507.364	9.999
-507.336	-507.359	9.999
-507.334	-507.357	9.999
-507.334	-507.359	9.999
-507.336	-507.360	9.999
-507.332	-507.356	9.999
-507.330	-507.364	9.999
-507.335	-507.356	9.999
-507.332	-507.356	9.999
-507.328	-507.365	9.999
-507.330	-507.364	9.999
-507.335	-507.361	9.999
-507.334	-507.361	9.999
-507.336	-507.358	9.999
-507.332	-507.367	9.999
-507.330	-507.365	9.999
-507.333	-507.360	9.999
-507.335	-507.359	9.999
-507.338	-507.359	9.999
-507.324	-507.373	9.998
-507.335	-507.357	9.999
-507.334	-507.356	9.999
-507.330	-507.364	9.999
-507.333	-507.361	9.999
-507.334	-507.360	9.999
-507.332	-507.360	9.999
-507.334	-507.360	9.999
-507.331	-507.364	9.999
-507.336	-507.353	9.999
-507.338	-507.355	9.999
-507.333	-507.358	9.999
-507.333	-507.357	9.999
-507.329	-507.364	9.999
-507.337	-507.357	9.999
-507.332	-507.360	9.999
-507.332	-507.357	9.999
-507.334	-507.355	9.999
-507.331	-507.361	9.999
-507.331	-507.360	9.999
-507.333	-507.359	9.999
-507.333	-507.364	9.999
-507.331	-507.365	9.999
-507.333	-507.360	9.999
-507.334	-507.362	9.999
-507.335	-507.360	9.999
-507.332	-507.363	9.999
-507.334	-507.354	9.999
-507.333	-507.360	9.999
-507.336	-507.358	9.999
-507.331	-507.359	9.999
-507.337	-507.357	9.999
-507.334	-507.355	9.999
-507.334	-507.358	9.999
-507.337	-507.357	9.999
-507.331	-507.364	9.999
-507.339	-507.361	9.999
-507.333	-507.363	9.999
-507.334	-507.358	9.999
-507.336	-507.355	9.999
-507.334	-507.355	9.999
-507.332	-507.363	9.999
-507.330	-507.360	9.999
-507.333	-507.363	9.999
-507.337	-507.354	9.999
-507.337	-507.361	9.999
-507.337	-507.356	9.999
-507.337	-507.353	9.999
-507.332	-507.362	9.999
-507.335	-507.360	9.999
-507.329	-507.366	9.999
-507.335	-507.358	9.999
-507.334	-507.359	9.999
-507.333	-507.364	9.999
-507.337	-507.353	9.999
-507.334	-507.365	9.999
-507.334	-507.357	9.999
-507.332	-507.360	9.999
-507.334	-507.358	9.999
-507.331	-507.360	9.999
-507.334	-507.359	9.999
-507.336	-507.356	9.999
-507.333	-507.356	9.999
-507.336	-507.363	9.999
-507.333	-507.362	9.999
-507.336	-507.357	9.999
-507.332	-507.363	9.999
-507.337	-507.362	9.999
-507.329	-507.364	9.999
-507.337	-507.354	9.999
-507.335	-507.360	9.999
-507.330	-507.369	9.999
-507.335	-507.358	9.999
-507.333	-507.362	9.999
-507.336	-507.356	9.999
-507.335	-507.358	9.999
-507.334	-507.360	9.999
-507.332	-507.358	9.999
-507.335	-507.361	9.999
-507.331	-507.362	9.999
-507.333	-507.361	9.999
-507.328	-507.364	9.999
-507.334	-507.362	9.999
-507.333	-507.359	9.999
-507.333	-507.360	9.999
-507.334	-507.355	9.999
-507.329	-507.365	9.999
-507.336	-507.358	9.999
-507.334	-507.357	9.999
-507.332	-507.359	9.999
-507.336	-507.356	9.999
-507.337	-507.356	9.999
-507.334	-507.359	9.999
-507.335	-507.355	9.999
-507.336	-507.358	9.999
-507.335	-507.363	9.999
-507.334	-507.356	9.999
-507.334	-507.359	9.999
-507.335	-507.357	9.999
-507.334	-507.360	9.999
-507.336	-507.352	9.999
-507.336	-507.359	9.999
-507.332	-507.361	9.999
-507.334	-507.355	9.999
-507.335	-507.362	9.999
-507.330	-507.360	9.999
-507.332	-507.359	9.999
-507.332	-507.367	9.999
-507.332	-507.358	9.999
-507.333	-507.358	9.999
-507.336	-507.359	9.999
-507.330	-507.364	9.999
-507.333	-507.359	9.999
-507.333	-507.357	9.999
-507.329	-507.361	9.999
-507.333	-507.362	9.999
-507.333	-507.363	9.999
-507.335	-507.360	9.999
-507.334	-507.357	9.999
-507.338	-507.359	9.999
-507.332	-507.361	9.999
-507.332	-507.366	9.999
-507.335	-507.360	9.999
-507.336	-507.354	9.999
-507.331	-507.359	9.999
-507.332	-507.364	9.999
-507.332	-507.361	9.999
-507.335	-507.356	9.999
-507.331	-507.363	9.999
-507.334	-507.359	9.999
-507.335	-507.363	9.999
-507.331	-507.356	9.999
-507.335	-507.358	9.999
-507.334	-507.358	9.999
-507.333	-507.358	9.999
-507.331	-507.361	9.999
-507.332	-507.358	9.999
-507.336	-507.360	9.999
-507.326	-507.362	9.999
-507.336	-507.362	9.999
-507.329	-507.370	9.999
-507.336	-507.361	9.999
-507.335	-507.359	9.999
-507.333	-507.360	9.999
-507.334	-507.364	9.999
-507.334	-507.359	9.999
-507.330	-507.362	9.999
-507.330	-507.362	9.999
-507.334	-507.361	9.999
-507.332	-507.359	9.999
-507.330	-507.357	9.999
-507.332	-507.360	9.999
-507.336	-507.357	9.999
-507.332	-507.365	9.999
-507.330	-507.363	9.999
-507.336	-507.356	9.999
-507.331	-507.366	9.999
-507.331	-507.366	9.999
-507.333	-507.356	9.999
-507.334	-507.359	9.999
-507.332	-507.366	9.999
-507.337	-507.357	9.999
-507.332	-507.360	9.999
-507.331	-507.360	9.999
-507.335	-507.359	9.999
-507.334	-507.360	9.999
-507.332	-507.363	9.999
-507.336	-507.357	9.999
-507.337	-507.353	9.999
-507.331	-507.360	9.999
-507.333	-507.356	9.999
-507.337	-507.357	9.999
-507.334	-507.355	9.999
-507.330	-507.363	9.999
-507.333	-507.356	9.999
-507.334	-507.358	9.999
-507.329	-507.364	9.999
-507.331	-507.357	9.999
-507.336	-507.353	9.999
-507.330	-507.363	9.999
-507.338	-507.357	9.999
-507.336	-507.362	9.999
-507.334	-507.362	9.999
-507.329	-507.368	9.999
-507.337	-507.360	9.999
-507.332	-507.359	9.999
-507.331	-507.363	9.999
-507.334	-507.359	9.999
-507.331	-507.364	9.999
-507.335	-507.358	9.999
-507.336	-507.360	9.999
-507.334	-507.364	9.999
-507.335	-507.359	9.999
-507.334	-507.360	9.999
-507.330	-507.366	9.999
-507.336	-507.362	9.999
-507.334	-507.358	9.999
-507.333	-507.360	9.999
-507.332	-507.360	9.999
-507.337	-507.359	9.999
-507.333	-507.362	9.999
-507.335	-507.360	9.999
-507.336	-507.361	9.999
-507.336	-507.353	9.999
-507.334	-507.359	9.999
-507.329	-507.365	9.999
-507.335	-507.358	9.999
-507.330	-507.364	9.999
-507.335	-507.355	9.999
-507.336	-507.353	9.999
-507.334	-507.362	9.999
-507.334	-507.363	9.999
-507.338	-507.358	9.999
-507.333	-507.363	9.999
-507.333	-507.358	9.999
-507.332	-507.363	9.999
-507.330	-507.362	9.999
-507.328	-507.363	9.999
-507.335	-507.359	9.999
-507.336	-507.353	9.999
-507.331	-507.356	9.999
-507.333	-507.360	9.999
-507.336	-507.353	9.999
-507.327	-507.364	9.999
-507.334	-507.356	9.999
-507.334	-507.359	9.999
-507.330	-507.364	9.999
-507.336	-507.357	9.999
-507.330	-507.360	9.999
-507.330	-507.362	9.999
-507.334	-507.355	9.999
-507.334	-507.354	9.999
-507.335	-507.360	9.999
-507.331	-507.365	9.999
-507.334	-507.359	9.999
-507.336	-507.357	9.999
-507.333	-507.357	9.999
-507.333	-507.367	9.999
-507.335	-507.357	9.999
-507.332	-507.364	9.999
-507.334	-507.366	9.999
-507.333	-507.363	9.999
-507.336	-507.362	9.999
-507.332	-507.365	9.999
-507.335	-507.356	9.999
-507.332	-507.359	9.999
-507.333	-507.361	9.999
-507.336	-507.358	9.999
-507.336	-507.366	9.999
-507.324	-507.370	9.998
-507.335	-507.358	9.999
-507.335	-507.358	9.999
-507.331	-507.364	9.999
-507.333	-507.360	9.999
-507.333	-507.364	9.999
-507.332	-507.360	9.999
-507.336	-507.354	9.999
-507.333	-507.362	9.999
-507.331	-507.363	9.999
-507.335	-507.354	9.999
-507.332	-507.361	9.999
-507.334	-507.357	9.999
-507.336	-507.356	9.999
-507.334	-507.362	9.999
-507.333	-507.363	9.999
-507.335	-507.359	9.999
-507.335	-507.358	9.999
-507.333	-507.362	9.999
-507.335	-507.362	9.999
-507.332	-507.360	9.999
-507.334	-507.361	9.999
-507.332	-507.360	9.999
-507.333	-507.363	9.999
-507.334	-507.354	9.999
-507.333	-507.362	9.999
-507.338	-507.355	9.999
-507.337	-507.353	9.999
-507.332	-507.357	9.999
-507.334	-507.356	9.999
